ID;ID_CATEGORY;NAME;;
1;1;Food;;
2;1;Hunger;;
3;1;Health;;
4;1;Sustainable Living;;
5;1;Safety;;
6;2;Cities;;
7;2;Housing;;
8;2;Sustainable Living;;
9;2;Water;;
10;2;Sanitation;;
11;2;Energy;;
12;2;Digitilization;;
13;2;Safety;;
14;3;Money;;
15;3;Unemployment;;
16;3;Poverty;;
17;3;Working conditions;;
18;3;Digitilization;;
19;4;Digitilization;;
20;4;Education;;
21;4;Leisure;;
22;4;Diversity;;
23;4;Indifference;;
24;5;Inequality;;
25;5;Energy;;
26;5;Environment;;
27;5;Climate;;
28;5;Government;;
29;5;Infrastructure;;
30;5;Transportation;;
31;5;Communication;;
32;5;Safety;;
