ID;ID_Design;ID_Driver;;;;;;
1;1;11;;;;;;
2;1;13;;;;;;
3;2;6;;;;;;
4;2;9;;;;;;
5;2;11;;;;;;
6;2;13;;;;;;
7;2;15;;;;;;
8;2;20;;;;;;
9;3;11;;;;;;
10;3;21;;;;;;
11;4;4;;;;;;
12;4;13;;;;;;
13;4;25;;;;;;
14;5;4;;;;;;
15;5;6;;;;;;
16;5;11;;;;;;
17;5;27;;;;;;
18;6;14;;;;;;
19;6;18;;;;;;
20;8;4;;;;;;
21;8;6;;;;;;
22;8;11;;;;;;
23;9;3;;;;;;
24;10;9;;;;;;
25;10;13;;;;;;
26;11;10;;;;;;
27;11;12;;;;;;
28;11;15;;;;;;
29;12;7;;;;;;
30;12;13;;;;;;
31;12;15;;;;;;
32;13;3;;;;;;
33;14;21;;;;;;
34;15;31;;;;;;
35;16;3;;;;;;
36;17;4;;;;;;
37;18;21;;;;;;
38;19;6;;;;;;
39;19;9;;;;;;
40;19;11;;;;;;
41;20;4;;;;;;
42;20;21;;;;;;
43;21;6;;;;;;
44;21;13;;;;;;
45;21;28;;;;;;
46;23;1;;;;;;
47;23;11;;;;;;
48;23;13;;;;;;
49;24;11;;;;;;
50;25;21;;;;;;
51;26;3;;;;;;
52;27;13;;;;;;
53;28;6;;;;;;
54;28;9;;;;;;
55;28;13;;;;;;
56;29;6;;;;;;
57;29;9;;;;;;
58;29;13;;;;;;
59;30;11;;;;;;
60;31;11;;;;;;
61;32;6;;;;;;
62;32;9;;;;;;
63;32;11;;;;;;
64;32;13;;;;;;
65;32;28;;;;;;
66;33;11;;;;;;
67;33;13;;;;;;
68;34;11;;;;;;
69;34;25;;;;;;
70;35;4;;;;;;
71;35;11;;;;;;
72;35;13;;;;;;
73;35;19;;;;;;
74;35;24;;;;;;
75;36;1;;;;;;
76;37;11;;;;;;
77;38;4;;;;;;
78;38;32;;;;;;
79;39;6;;;;;;
80;39;9;;;;;;
81;39;13;;;;;;
82;39;16;;;;;;
83;40;11;;;;;;
84;41;11;;;;;;
85;41;13;;;;;;
86;42;13;;;;;;
87;42;15;;;;;;
88;42;17;;;;;;
89;43;11;;;;;;
90;43;13;;;;;;
91;43;19;;;;;;
92;44;9;;;;;;
93;44;31;;;;;;
94;45;10;;;;;;
95;45;11;;;;;;
96;45;15;;;;;;
97;46;11;;;;;;
98;47;11;;;;;;
99;48;11;;;;;;
100;49;6;;;;;;
101;49;9;;;;;;
102;50;6;;;;;;
103;50;9;;;;;;
104;50;13;;;;;;
105;50;16;;;;;;
106;51;6;;;;;;
107;51;9;;;;;;
108;51;13;;;;;;
109;51;21;;;;;;
110;52;11;;;;;;
111;52;13;;;;;;
112;53;11;;;;;;
113;53;15;;;;;;
114;54;11;;;;;;
115;55;4;;;;;;
116;55;5;;;;;;
117;55;10;;;;;;
118;55;11;;;;;;
119;55;13;;;;;;
120;55;15;;;;;;
121;56;6;;;;;;
122;56;9;;;;;;
123;56;13;;;;;;
124;56;16;;;;;;
125;57;11;;;;;;
126;58;6;;;;;;
127;58;9;;;;;;
128;58;11;;;;;;
129;58;13;;;;;;
130;59;11;;;;;;
131;59;13;;;;;;
132;60;4;;;;;;
133;60;6;;;;;;
134;60;7;;;;;;
135;60;13;;;;;;
136;60;17;;;;;;
137;62;13;;;;;;
138;63;4;;;;;;
139;63;17;;;;;;
140;64;4;;;;;;
141;64;11;;;;;;
142;64;13;;;;;;
143;64;25;;;;;;
144;65;7;;;;;;
145;65;13;;;;;;
146;65;15;;;;;;
147;65;17;;;;;;
148;66;1;;;;;;
149;66;6;;;;;;
150;66;9;;;;;;
151;66;11;;;;;;
152;66;13;;;;;;
153;66;16;;;;;;
154;66;18;;;;;;
155;67;13;;;;;;
156;67;17;;;;;;
157;68;13;;;;;;
158;69;13;;;;;;
159;69;15;;;;;;
160;69;18;;;;;;
161;70;11;;;;;;
162;70;15;;;;;;
163;70;21;;;;;;
164;71;11;;;;;;
165;71;13;;;;;;
166;72;6;;;;;;
167;72;9;;;;;;
168;73;21;;;;;;
169;74;6;;;;;;
170;74;9;;;;;;
171;74;11;;;;;;
172;74;13;;;;;;
173;74;15;;;;;;
174;74;21;;;;;;
175;76;6;;;;;;
176;76;9;;;;;;
177;76;11;;;;;;
178;76;16;;;;;;
179;78;11;;;;;;
180;79;11;;;;;;
181;80;4;;;;;;
182;80;9;;;;;;
183;80;11;;;;;;
184;81;11;;;;;;
185;81;19;;;;;;
186;82;4;;;;;;
187;82;11;;;;;;
188;82;21;;;;;;
189;83;11;;;;;;
190;83;13;;;;;;
191;84;6;;;;;;
192;84;9;;;;;;
193;84;11;;;;;;
194;84;13;;;;;;
195;85;11;;;;;;
196;86;4;;;;;;
197;86;17;;;;;;
198;87;4;;;;;;
199;87;11;;;;;;
200;88;11;;;;;;
201;88;13;;;;;;
202;88;15;;;;;;
203;89;5;;;;;;
204;89;11;;;;;;
205;89;13;;;;;;
206;89;25;;;;;;
207;90;11;;;;;;
208;90;13;;;;;;
209;90;29;;;;;;
210;90;30;;;;;;
211;91;3;;;;;;
212;92;4;;;;;;
213;92;10;;;;;;
214;92;11;;;;;;
215;92;13;;;;;;
216;92;25;;;;;;
217;93;11;;;;;;
218;93;15;;;;;;
219;93;21;;;;;;
220;94;7;;;;;;
221;94;32;;;;;;
222;95;4;;;;;;
223;96;1;;;;;;
224;96;11;;;;;;
225;97;6;;;;;;
226;97;9;;;;;;
227;97;11;;;;;;
228;97;13;;;;;;
229;97;15;;;;;;
230;97;22;;;;;;
231;98;5;;;;;;
232;98;15;;;;;;
233;99;4;;;;;;
234;99;13;;;;;;
235;99;21;;;;;;
236;100;4;;;;;;
237;100;11;;;;;;
238;100;13;;;;;;
239;100;21;;;;;;
240;101;1;;;;;;
241;101;11;;;;;;
242;101;13;;;;;;
243;102;3;;;;;;
244;102;11;;;;;;
245;102;13;;;;;;
246;103;9;;;;;;
247;103;11;;;;;;
248;104;4;;;;;;
249;104;13;;;;;;
250;104;25;;;;;;
251;105;11;;;;;;
252;106;4;;;;;;
253;106;11;;;;;;
254;106;21;;;;;;
255;106;25;;;;;;
256;107;4;;;;;;
257;107;15;;;;;;
258;107;25;;;;;;
259;108;4;;;;;;
260;108;11;;;;;;
261;108;15;;;;;;
262;108;25;;;;;;
263;109;9;;;;;;
264;109;11;;;;;;
265;109;13;;;;;;
266;110;6;;;;;;
267;110;7;;;;;;
268;110;9;;;;;;
269;110;11;;;;;;
270;110;13;;;;;;
271;110;28;;;;;;
272;111;11;;;;;;
273;111;13;;;;;;
274;112;21;;;;;;
275;113;4;;;;;;
276;113;5;;;;;;
277;113;11;;;;;;
278;113;13;;;;;;
279;114;15;;;;;;
280;114;21;;;;;;
281;115;15;;;;;;
282;116;4;;;;;;
283;116;11;;;;;;
284;117;9;;;;;;
285;117;11;;;;;;
286;118;6;;;;;;
287;118;9;;;;;;
288;118;11;;;;;;
289;118;13;;;;;;
290;119;11;;;;;;
291;119;13;;;;;;
292;120;4;;;;;;
293;120;11;;;;;;
294;120;13;;;;;;
295;120;15;;;;;;
296;120;25;;;;;;
297;121;11;;;;;;
298;122;6;;;;;;
299;122;9;;;;;;
300;122;11;;;;;;
301;122;13;;;;;;
302;122;21;;;;;;
303;123;3;;;;;;
304;123;9;;;;;;
305;123;11;;;;;;
306;123;13;;;;;;
307;124;11;;;;;;
308;124;13;;;;;;
309;124;21;;;;;;
310;125;11;;;;;;
311;125;13;;;;;;
312;126;1;;;;;;
313;126;11;;;;;;
314;126;13;;;;;;
315;126;21;;;;;;
316;127;13;;;;;;
317;127;32;;;;;;
318;128;1;;;;;;
319;128;4;;;;;;
320;128;11;;;;;;
321;128;13;;;;;;
322;128;21;;;;;;
323;128;25;;;;;;
324;129;1;;;;;;
325;129;11;;;;;;
326;129;13;;;;;;
327;130;5;;;;;;
328;130;11;;;;;;
329;130;13;;;;;;
330;130;15;;;;;;
331;131;13;;;;;;
332;131;15;;;;;;
333;132;4;;;;;;
334;132;11;;;;;;
335;132;13;;;;;;
336;133;4;;;;;;
337;133;11;;;;;;
338;133;13;;;;;;
339;133;21;;;;;;
340;134;11;;;;;;
341;134;13;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;
342;134;15;;;;;;
343;134;25;;;;;;
344;135;4;;;;;;
345;135;13;;;;;;
346;135;14;;;;;;
347;135;21;;;;;;
348;135;25;;;;;;
349;136;4;;;;;;
350;136;7;;;;;;
351;136;13;;;;;;
352;136;28;;;;;;
353;137;4;;;;;;
354;137;7;;;;;;
355;137;13;;;;;;
356;138;2;;;;;;
357;138;11;;;;;;
358;138;13;;;;;;
359;139;7;;;;;;
360;139;9;;;;;;
361;139;11;;;;;;
362;139;13;;;;;;
363;140;11;;;;;;
364;141;4;;;;;;
365;141;6;;;;;;
366;141;9;;;;;;
367;141;11;;;;;;
368;141;13;;;;;;
369;141;19;;;;;;
370;141;24;;;;;;
371;142;4;;;;;;
372;142;13;;;;;;
373;143;4;;;;;;
374;143;13;;;;;;
375;144;4;;;;;;
376;144;13;;;;;;
377;144;25;;;;;;
378;145;4;;;;;;
379;145;13;;;;;;
380;145;21;;;;;;
381;146;4;;;;;;
382;146;11;;;;;;
383;146;13;;;;;;
384;147;11;;;;;;
385;148;11;;;;;;
386;149;4;;;;;;
387;149;11;;;;;;
388;149;13;;;;;;
389;149;21;;;;;;
390;150;11;;;;;;
391;151;6;;;;;;
392;151;9;;;;;;
393;151;11;;;;;;
394;151;13;;;;;;
395;151;15;;;;;;
396;152;3;;;;;;
397;152;6;;;;;;
398;152;13;;;;;;
399;153;6;;;;;;
400;153;9;;;;;;
401;153;11;;;;;;
402;153;13;;;;;;
403;153;15;;;;;;
404;154;3;;;;;;
405;154;11;;;;;;
406;155;11;;;;;;
407;155;25;;;;;;
408;156;11;;;;;;
409;157;11;;;;;;
410;157;13;;;;;;
411;158;9;;;;;;
412;158;11;;;;;;
413;158;13;;;;;;
414;158;15;;;;;;
415;160;11;;;;;;
416;160;21;;;;;;
417;161;6;;;;;;
418;161;9;;;;;;
419;161;11;;;;;;
420;161;13;;;;;;
421;161;19;;;;;;
422;162;1;;;;;;
423;162;13;;;;;;
424;162;18;;;;;;
425;162;21;;;;;;
426;163;5;;;;;;
427;163;11;;;;;;
428;163;13;;;;;;
429;163;26;;;;;;
430;165;3;;;;;;
431;165;5;;;;;;
432;165;11;;;;;;
433;165;13;;;;;;
434;165;15;;;;;;
435;165;26;;;;;;
436;166;11;;;;;;
437;166;21;;;;;;
438;167;6;;;;;;
439;167;9;;;;;;
440;167;11;;;;;;
441;167;13;;;;;;
442;167;28;;;;;;
443;168;6;;;;;;
444;168;9;;;;;;
445;168;11;;;;;;
446;168;13;;;;;;
447;168;16;;;;;;
448;168;21;;;;;;
449;169;6;;;;;;
450;169;9;;;;;;
451;169;11;;;;;;
452;169;13;;;;;;
453;169;16;;;;;;
454;169;21;;;;;;
455;170;11;;;;;;
456;171;6;;;;;;
457;171;9;;;;;;
458;171;11;;;;;;
459;171;13;;;;;;
460;171;15;;;;;;
461;171;21;;;;;;
462;172;6;;;;;;
463;172;9;;;;;;
464;172;11;;;;;;
465;172;13;;;;;;
466;174;1;;;;;;
467;174;13;;;;;;
468;175;4;;;;;;
469;175;32;;;;;;
470;176;1;;;;;;
471;176;6;;;;;;
472;176;11;;;;;;
473;176;13;;;;;;
474;176;21;;;;;;
475;177;6;;;;;;
476;177;9;;;;;;
