ID	Name	Category ID	Challenge ID	Driver of Change	Award year	Is Winner? (1 | 0)	Country of Design
1	‘c’ system	1	3		2005	0	UK
2	$100 Laptop	4	19		2005	0	USA
3	60 degrees Subway Overhead Support Handle	5	30		2005	0	Taiwan
4	A Strategy: Moving America Away from Oil	5	25		2005	0	USA
5	Agrobot	5	26		2005	0	Denmark
6	AIGA Design for Democracy	5	28		2005	0	USA
7	Airman	4	21		2005	0	Denmark
8	AMUN 	2	11		2005	0	Germany
9	Apligraf® Living Skin	1	3		2005	0	USA
10	APPLE iTunes, iPod	4	19		2005	1	USA
11	ApproTEC	2	9		2005	0	USA
12	ARCHITECTURE FOR HUMANITY	5	29		2005	1	USA
13	Artificial Heart	1	3		2005	0	Japan
14	AXIOM Range of playground products	4	21		2005	0	Finland
15	AXN 300 & AXN 500 outdoor computers	4	21		2005	0	Finland
16	Bio Rubber	1	3		2005	0	USA
17	Bios Urn	5	26		2005	0	Spain
18	BIX	5	29		2005	0	Germany
19	Bluetooth	3	3		2005	0	Sweden
20	Boase	2	7		2005	0	Denmark
21	Circles of Care	1	3		2005	0	Italy
22	Claystation	4	21		2005	0	UK
23	ClearRx system	1	3		2005	0	USA
24	Combined City Vehicle (CCV)	1	3		2005	0	Poland
25	Copenhagen Habour Bath	5	29		2005	0	Denmark
26	Corsinel	1	3		2005	0	Denmark
27	Create! Don’t Hate	5	24		2005	0	USA
28	DiamondHelp	2	2		2005	0	USA
29	DIANE	1	5		2005	0	USA
30	drowning.defender	1	5		2005	0	Singapore
31	DYSON Vacuum Cleaner	2	8		2005	0	UK
32	E-BAY	5	29		2005	0	USA
33	Eifelland DESEO	4	21		2005	0	Germany
34	Electric powered vehicle	5	30		2005	0	Hungary
35	Fab Tree Hab	5	29		2005	0	USA
36	Fiskars Universal Convenience Cutter	3	17		2005	0	Finland
37	Flexor- active wheelchair prototype	1	3		2005	0	Hungary
38	Ford Plant Green Roof	5	29		2005	0	USA
39	Google	5	29		2005	0	USA
40	GRID	4	21		2005	0	Denmark
41	Grippa	5	32		2005	0	UK
42	Guaraná Power	3	17		2005	0	Denmark
43	Harvester Heat	2	11		2005	0	Norway
44	HealthNet	1	3		2005	0	USA
45	Hippo Roller	2	9		2005	0	South Africa
46	Home Tanker 100L	2	9		2005	0	Japan
47	Håg Swing	3	17		2005	0	Norway
48	iBOT™ Mobility System	1	3		2005	0	USA
49	iMac G5	3	3		2005	0	USA
50	InterPlay	4	19		2005	0	USA
51	iPlus 2G3G with WiFi	5	29		2005	0	UK
52	Karrysafe bags and accessories	1	5		2005	0	UK
53	Kinkajou Portable Library and Projector	4	20		2005	0	USA
54	Kurumono Kitchen	2	7		2005	0	USA
55	LIFESTRAW	2	9		2005	1	Denmark
56	LINUX	5	29		2005	0	USA
57	MAGNETUDE	4	21		2005	0	France
58	Material Explorer – Material Selection Support Tool for Designers	3	3		2005	0	Netherlands
59	MICUS stretcher	1	3		2005	0	Sweden
60	Mobile.Seed	5	26		2005	0	Italy
61	Moon	2	8		2005	0	Germany
62	Museu da Casa Brasileira	4	20		2005	0	Brazil
63	ÑANDEVA 	4	20		2005	0	Italy
64	NCC Concept House 	2	11		2005	0	Sweden
65	Neotopia 	4	20		2005	0	Switzerland
66	NurseBot	3	3		2005	0	USA
67	OBSERVATORIO IBEROAMERICANO	4	20		2005	1	Spain
68	ORBIS	1	3		2005	0	USA
69	OUTREACH	5	29		2005	0	Denmark
70	paraSITE	2	7		2005	0	USA
71	Personal Water Cleaner OPV	2	9		2005	0	Croatia
72	Power Mac 5	4	19		2005	0	USA
73	Project Fox	5	31		2005	0	Denmark
74	Project Infusion	3	16		2005	0	USA
75	Rescuerunner	3	17		2005	0	Sweden
76	RIQUADRO	4	19		2005	0	Italy
77	Round Zone Container	2	8		2005	0	Finland
78	Sandbug and Gofer	3	17		2005	0	UK
79	ScooterDesk	3	17		2005	0	Belgium
80	SIM Carpet Simulation	5	26		2005	0	UK
81	Simple Toilet-Emergency Sanitation	1	3		2005	0	Slovenia
82	SimplyCity	5	29		2005	0	Belgium
83	SitBag	4	21		2005	0	Denmark
84	Skype	5	31		2005	0	Netherlands
85	Snail Housetrap	2	8		2005	0	Chile
86	Socialcommercialism	5	26		2005	0	Sweden
87	SOFTWALL	2	8		2005	1	Canada
88	Solar pasteurisation unit	2	9		2005	0	Denmark
89	Solar Surgery Light	3	17		2005	0	Denmark
90	SpaceShipOne	5	30		2005	0	USA
91	SpeediCath Compact	1	3		2005	0	Denmark
92	SQFlex	2	9		2005	0	Denmark
93	Sun Shelter Pavilion	2	7		2005	0	USA
94	Syopa 	5	31		2005	0	Finland
95	Tank Park	4	21		2005	0	Norway
96	Tennis racket pick-up ball accessory	4	21		2005	0	Slovenia
97	The ‘RAM-Exchange'	3	14		2005	0	Venezuela
98	The “SOS” Infant Nursing Packs	1	3		2005	0	Denmark
99	The EcoSource project	5	26		2005	0	India
100	The Evolutionary Housing System	2	7		2005	0	USA
101	The Helping Hand, IDAS I	1	3		2005	0	Denmark
102	The Lifeport Kidney Transporter	1	3		2005	0	USA
103	the vOICe	1	3		2005	0	Netherlands
104	Toyota Prius	5	30		2005	0	Japan
105	Trijak 	4	21		2005	0	Sweden
106	trioBike	5	30		2005	0	Denmark
107	Turbo Stove	2	13		2005	0	Finland
108	Unplugged – Mobilizing Power	5	25		2005	0	Denmark
109	Vivid-i	1	3		2005	0	France
110	WIKI Software: Beyond Blogs	5	31		2005	0	Sweden
111	Wovin Wall System	2	8		2005	0	Australia
112	Xtreme West	4	21		2005	0	Croatia
113	Zip-Shelter	2	7		2005	0	Germany
114	6LOCKERS	2	7		2007	0	Ireland
115	A BRIDGE 2 FAR	5	29		2007	0	China
116	AIRWASH	2	8		2007	0	Singapore
117	ANYBODY MODELLING SYSTEM	3	3		2007	0	Denmark
118	AQUARIUS Keyboard	3	3		2007	0	Italy
119	BASF HEAT Concepts	2	13		2007	0	Germany
120	BCK SOLAR COOKER	2	8		2007	0	Argentina
121	BLACKENED CIGARETTES	1	3		2007	0	China
122	BLUETOOTH HANDS FREE CAR KIT	5	32		2007	0	China
123	C-CAP	1	3		2007	0	Denmark
124	CAROMA	2	10		2007	0	Australia
125	CASSETTE 3IN1	3	17		2007	0	Australia
126	CATERPILLAR SCOOP	5	30		2007	0	Sweden
127	CHANGING LIVES	4	20		2007	0	UK
128	CITY CAB	5	30		2007	0	Finland
129	COLLECTION NÈOVI	1	4		2007	0	France
130	CONCRETE CANVAS SHELTER	2	7		2007	0	UK
131	CONGO RIVER MALARIA HEALTHCARE SYSTEM (USA)	1	5		2007	0	USA
132	COVER	2	8		2007	0	Belgium
133	DAILY DUMP	2	8		2007	0	India
134	DIABET-COOL	1	3		2007	0	Denmark
135	DONGTAN ECO-CITY	5	26		2007	0	UK
136	DROPPING KNOWLEDGE	5	31		2007	0	Germany
137	ECOLOGICAL FOOTPRINT	5	25		2007	0	USA
138	EMPTICON	3	17		2007	0	Denmark
139	ESCAPE FROM DIAB	4	20		2007	0	USA
140	FREE GO	2	8		2007	0	Italy
141	FREEDOM OF CREATION	3	3		2007	0	Netherlands
142	GRUNDFOS NONOX DOSING SYSTEM	5	26		2007	0	Denmark
143	GUBI CHAIR II COLLECTION	2	7		2007	0	Denmark
144	HALLEY VI	2	8		2007	0	UK
145	HEALING	4	20		2007	0	Germany
146	HYDRO WALL	2	8		2007	0	USA
147	HYPO HOIST	1	5		2007	0	UK
148	I FLASHER	5	32		2007	0	Denmark
149	IMPRINT	2	8		2007	0	Denmark
150	IMPROVED HELMET TECHNOLOGY (IHT)	1	5		2007	0	USA
151	INKWELL SPARK COMPUTING DEVICE	4	20		2007	0	USA
152	INSULET OMNIPOD DIABETES MANAGEMENT	1	3		2007	0	USA
153	INTERNET TERMINAL FOR AFRICA	5	24		2007	0	Denmark
154	iUVO	1	3		2007	0	Denmark
155	JACK	2	13		2007	0	Germany
156	JOYN	3	17		2007	0	France
157	KAOSPILOTS INTERNATIONAL	4	20		2007	0	Denmark
158	KEEP THE CHANGE	3	14		2007	0	USA
159	KIKKERLAND	4	20		2007	0	Italy
160	KVADRAT SOFT CELLS	3	17		2007	0	Denmark
161	LEGO MINDSTORMS NXT	4	20		2007	0	Denmark
162	MANY HELPING HANDS APPROACH	5	24		2007	0	Singapore
163	MAT ( MECHANICAL ADVANTAGE TOURNIQUET)	1	5		2007	0	USA
164	MEDICINUS	1	5		2007	0	Denmark
165	MOBILITY FOR EACH ONE	1	3		2007	1	Canada
166	MOUNTIT	3	17		2007	0	Denmark
167	MOUSE CAP	3	17		2007	0	Argentina
168	MUKANA	5	24		2007	0	Finland
169	MYGO	5	24		2007	0	Germany
170	NEPTUNIC C SUIT	3	17		2007	0	USA
171	OLPC XO	5	24		2007	1	USA
172	OPTALERT	5	32		2007	0	Australia
173	ORDRUP SCHOOL	4	20		2007	0	Denmark
174	OTICON DELTA	1	3		2007	0	Denmark
175	PACKAGING AND IDENTITY FOR PANGEA ORGANICS	5	26		2007	0	USA
176	PERSONAL ALARM TRANSMITTER	1	5		2007	0	Denmark
177	PLAY.orchestra	4	21		2007	0	UK
178	POLICY DESIGN BY CITIZENS	5	28		2007	0	Denmark
179	POWERPLANTS AND POWERSEEDS	5	25		2007	0	USA
180	PROGRESSIVE SHELTER SYSTEM	2	7		2007	0	Guatemala
181	PUMA BIKE	5	30		2007	0	Denmark
182	RAMPSNAKE	3	17		2007	0	Denmark
183	RAVELIN 3	3	17		2007	0	Norway
184	RESI	3	17		2007	0	Finland
