ID	ID_DESIGN	ID_TREND		
1	401	1		
2	154	1		
3	203	1		
4	237	1		
5	239	1		
6	306	1		
7	400	1		
8	445	1		
9	369	1		
10	98	1		
11	228	1		
12	315	1		
13	140	2		
14	251	2		
15	198	2		
16	103	2		
17	275	2		
18	405	2		
19	1	2		
20	168	2		
21	169	2		
22	278	2		
23	288	2		
24	167	2		
25	174	2		
26	187	2		
27	250	2		
28	331	2		
29	94	3		
30	23	3		
31	416	3		
32	162	3		
33	349	3		
34	350	3		
35	29	3		
36	101	3		
37	195	3		
38	300	3		
39	320	3		
40	332	3		
41	21	3		
42	134	3		
43	223	3		
44	247	3		
45	256	3		
46	260	3		
47	330	3		
48	353	3		
49	433	3		
50	393	4		
51	54	4		
52	165	4		
53	422	4		
54	352	4		
55	240	4		
56	285	4		
57	419	5		
58	135	5		
59	351	5		
60	399	5		
61	436	5		
62	384	5		
63	434	5		
64	273	5		
65	367	5		
66	368	5		
67	365	5		
68	54	6		
69	24	6		
70	380	6		
71	391	6		
72	126	6		
73	214	6		
74	37	6		
75	48	6		
76	129	6		
77	162	7		
78	134	7		
79	239	7		
80	13	7		
81	44	7		
82	102	7		
83	109	7		
84	123	7		
85	152	7		
86	212	7		
87	289	7		
88	414	7		
89	437	7		
90	441	7		
91	26	7		
92	59	7		
93	91	7		
94	164	7		
95	209	7		
96	262	7		
97	287	7		
98	337	7		
99	343	7		
100	421	7		
101	447	7		
102	351	8		
103	384	8		
104	434	8		
105	273	8		
106	368	8		
107	94	8		
108	332	8		
109	433	8		
110	400	8		
111	347	8		
112	5	8		
113	144	8		
114	133	8		
115	233	8		
116	186	8		
117	442	8		
118	95	8		
119	189	8		
120	231	8		
121	226	8		
122	205	8		
123	446	8		
124	17	8		
125	253	8		
126	264	8		
127	427	8		
128	86	8		
129	87	8		
130	398	8		
131	325	8		
132	297	8		
133	425	8		
134	8	8		
135	60	8		
136	61	8		
137	80	8		
138	175	8		
139	197	8		
140	199	8		
141	208	8		
142	241	8		
143	326	8		
144	338	8		
145	341	8		
146	359	8		
147	375	8		
148	429	8		
149	245	8		
150	366	8		
151	266	8		
152	31	8		
153	357	8		
154	423	8		
155	333	8		
156	160	8		
157	218	8		
158	71	8		
159	193	8		
160	255	8		
161	243	8		
162	111	8		
163	206	8		
164	227	8		
165	293	8		
166	434	9		
167	375	9		
168	266	9		
169	71	9		
170	243	9		
171	134	9		
172	441	9		
173	287	9		
174	343	9		
175	421	9		
176	447	9		
177	23	9		
178	101	9		
179	300	9		
180	247	9		
181	256	9		
182	401	9		
183	378	9		
184	402	9		
185	221	9		
186	312	9		
187	148	9		
188	301	9		
189	319	9		
190	163	9		
191	176	9		
192	207	9		
193	30	9		
194	75	9		
195	122	9		
196	147	9		
197	284	9		
198	125	9		
199	229	9		
200	200	9		
201	107	9		
202	327	9		
203	308	9		
204	131	9		
205	3	9		
206	150	9		
207	172	9		
208	185	9		
209	217	9		
210	224	9		
211	246	9		
212	290	9		
213	360	9		
214	372	9		
215	424	9		
216	41	9		
217	312	10		
218	189	10		
219	264	10		
220	425	10		
221	337	10		
222	135	10		
223	314	10		
224	35	10		
225	370	10		
226	222	10		
227	336	10		
228	394	10		
229	430	10		
230	358	10		
231	415	10		
232	115	10		
233	64	10		
234	313	10		
235	25	10		
236	112	10		
237	257	10		
238	311	10		
239	364	10		
240	305	10		
241	20	10		
242	51	10		
243	82	10		
244	100	10		
245	230	10		
246	263	10		
247	299	10		
248	328	10		
249	385	10		
250	232	10		
251	70	10		
252	93	10		
253	113	10		
254	180	10		
255	191	10		
256	196	10		
257	270	10		
258	406	10		
259	114	10		
260	267	10		
261	272	10		
262	14	10		
263	18	10		
264	370	11		
265	25	11		
266	221	11		
267	229	11		
268	107	11		
269	185	11		
270	224	11		
271	384	11		
272	144	11		
273	133	11		
274	233	11		
275	186	11		
276	442	11		
277	80	11		
278	129	11		
279	419	11		
280	399	11		
281	436	11		
282	367	11		
283	365	11		
284	140	11		
285	354	11		
286	38	11		
287	443	11		
288	142	11		
289	307	11		
290	321	11		
291	323	11		
292	291	11		
293	146	11		
294	4	11		
295	286	11		
296	356	11		
297	281	11		
298	362	11		
299	379	11		
300	248	11		
