ID;NAME;;;
24;3D PRINT;x;;
37;AFFORDABLE HOUSING;;;
14;ALTERNATIV ENERGY;;;
30;ALTERNATIVE LEARNING / INFORMATION;;;
31;APPLIED DESIGN THINKING;;;
39;BIOMIMICRY;;;
44;CIVIL PROMOTION;;;
40;CLIMATE ADAPTATION;;;
29;Closing the digital divide;;;
8;CONSCIENTIUS CONSUMPTION/BEHAVIER;;;
42;CRISIS RESPONS;;;
20;DECENTRALIZATION OF HEALTHCARE (Remote doctors);;;
12;DIGITAL SOCIETY;;;
3;DISEASES AID & AWARNESS;;;
7;DISEASES TREATMENT;;;
17;DISPLACEMENT;;;
21;EMPOWER PEOPLE LOCAL;;;
32;EMPOWERING GIRLS & WOMEN;;;
19;FINANSIEL EMPOWERMENT;;;
33;FLEXIBLE LIVING;;;
5;FOOD SUSTAINABILITY;;;
23;HEAVY LIFTING/WORK AIDS FOR WORKERS;;;
2;IMPAIRMENT DEVICES (SIGHT & SOUND);;;
1;INFANT AID;;;
35;INTERNET OF THINGS;;;
15;LIGHT;;;
34;MATERIALS;;;
13;MOBILITY & ALTERNATIV TRANSPORTATION;;;
38;PERSONAL EMPOWERMENT;;;
6;PERSONAL MOBILITY/AID;;;
27;PHYSICAL ENVIRONMENT FOR LEARNING ;;;
26;PLAY AS PREVENTION OF DISEASE;;;
4;PROSTHETICS;;;
22;PROTECTION FOR WORKERS;;;
28;PURPOSEFUL GAMING;;;
10;RECLAIMING THE CITY;;;
18;SAFE WATER;;;
9;SAFETY;;;
36;SANITATION;;;
11;SELF-SUSTAINING RESOURCES;;;
25;SHARING ECONOMY (KNOWLEDGE AND SKILLS);;;
43;WASTE MANAGEMENT;;;
16;WATER SAVING;;;
41;WEARABLES;;;
